Date,Book Title,Author,Genre,Pages Read,Minutes Read,Status,Rating,Total Pages
2026-01-03,Project Hail Mary,Andy Weir,Sci-Fi,40,45,Reading,,476
2026-01-04,Project Hail Mary,Andy Weir,Sci-Fi,35,40,Reading,,476
2026-01-05,Project Hail Mary,Andy Weir,Sci-Fi,50,55,Reading,,476
2026-01-10,Project Hail Mary,Andy Weir,Sci-Fi,60,60,Finished,5,476
2026-01-11,Atomic Habits,James Clear,Self-Help,25,30,Reading,,320
2026-01-12,Atomic Habits,James Clear,Self-Help,30,35,Reading,,320
2026-01-15,Atomic Habits,James Clear,Self-Help,40,40,Finished,4,320
2026-01-20,Dune,Frank Herbert,Sci-Fi,55,60,Reading,,412
2026-01-21,Dune,Frank Herbert,Sci-Fi,45,50,Reading,,412
2026-02-01,Dune,Frank Herbert,Sci-Fi,60,65,Finished,5,412
2026-02-05,Sapiens,Yuval Noah Harari,Non-Fiction,30,35,Reading,,443
2026-02-06,Sapiens,Yuval Noah Harari,Non-Fiction,35,40,Reading,,443
2026-02-10,Sapiens,Yuval Noah Harari,Non-Fiction,50,45,Finished,4,443
2026-03-01,The Hobbit,J.R.R. Tolkien,Fantasy,40,45,Reading,,310
2026-03-02,The Hobbit,J.R.R. Tolkien,Fantasy,45,50,Finished,5,310
2026-08-25,Educated,Tara Westover,Memoir,30,35,Reading,,352
2026-08-26,Educated,Tara Westover,Memoir,35,40,Reading,,352
2026-08-27,Educated,Tara Westover,Memoir,40,45,Reading,,352
2026-09-10,Educated,Tara Westover,Memoir,50,55,Finished,5,352
2026-09-13,The Midnight Library,Matt Haig,Fiction,30,35,Reading,,304
2026-09-14,The Midnight Library,Matt Haig,Fiction,35,40,Reading,,304
2026-09-15,The Midnight Library,Matt Haig,Fiction,40,45,Reading,,304
2026-09-16,The Midnight Library,Matt Haig,Fiction,45,50,Reading,,304
2026-09-17,The Midnight Library,Matt Haig,Fiction,20,25,Reading,,304
